	Total_Mass(ug)	ShootsMass%	RootsMass%	SoilMass%	RhizosphereMass%	Shoots_Concentration(ug/kg)	Roots_Concentration(ug/kg)	Soil_Concentration(ug/kg)	Rhizosphere_Concentration(ug/kg)	Total_Mass	Recovery%	RCFrhizo	RCFbulk	TF	Harvest_date	name
A8	16.55953938070806	0.0005910572624896162	0.05231415939609684	14.80125831525708	0.1458992833328583	1.1366485817108014	21.56932458493595	2.0195072900955258	2.4223418658102704	17.31675789164835	15.000062815248524	8.904327208876868	10.680488597748854	0.05269745824607965	Day27	Monensin Sodium
A9	13.92164140125435	0.0012266334945710124	0.011465768277624014	8.683830063122931	0.018496072398957893	1.5527006260392544	5.033560662378659	0.9885034355622593	0.4526305846793237	14.487254393816976	8.715018537294085	11.120681705468042	5.092102345112819	0.3084696361453028	Day27	Monensin Sodium
A13	15.052147712702507	0.0050411415235349505	0.035626026508716754	12.940613983494199	0.09740314101560933	8.264166432024517	9.726666451188901	1.6333836098541978	2.3039576839520164	16.10826064140872	13.07868429254206	4.221720962558909	5.95491860730569	0.8496401591949705	Day31	Monensin Sodium
A14	14.746157615357223	0.00842985880846616	0.016973161962053254	16.254773923521583	0.011959902366780767	8.873535587859124	5.580874193305107	2.010122339534104	0.3821038380403639	15.782678671042357	16.29213684665888	14.60564809274584	2.776385339112551	1.589990256097143	Day31	Monensin Sodium
A15	14.8717814926278	0.0008483707429961065	0.01801192522081485	8.189979567134651	0.008983793421412803	1.9729552162700164	8.7828738269929	1.0340874811463048	0.28512956141179435	16.09127468261018	8.217823656519876	30.80309801447896	8.493356690922246	0.2246366343333343	Day31	Monensin Sodium
A10	14.951163886078454		0.053345812526508066	13.727826857518997	0.015825862252492287		13.984507148474956	1.8881179822356293	0.43499889801958375	16.129540423959448	13.796998532297998	32.1483737364442	7.406585435893458		Day35	Monensin Sodium
A11	15.705170485220156		0.020199407796973566	10.134920953436788	0.010579043745300136		4.257840697286058	1.5073571308865428	0.3682503699505683	17.132297175997913	10.165699404979062	11.562352803223536	2.824705977130871		Day35	Monensin Sodium
A12	13.358489502496841	0.005715720183287044	0.036754669767879784	6.989586545439995		6.646186259636089	8.925089153926544	0.879906150494386		14.500857364662071	7.032056935391162		10.143228512395185	0.7446632907540353	Day35	Monensin Sodium
A4	15.458347515332928		0.06729429913159271	60.31389865193875	0.6153681116154903		18.314413059452924	7.340959201982877	7.300517359329572	15.458347515332928	60.99656106268583	2.5086459161758357	2.4948256155007633		Day25	Tylosin
A5	14.690053462607443		0.0661848962580872	58.286628576207555	0.5949666506220023		13.713112333546228	6.763886988124021	5.635133401744485	14.690053462607443	58.94778012308765	2.4335026974341045	2.027401161140569		Day25	Tylosin
A6	15.905984587142715	0.0024293557506323516	0.06901728079003469	63.31523812211077	0.4191857113034727	5.28120815354858	26.775312304702254	7.937039064519563	5.579549341542672	15.905984587142715	63.805870469954904	4.798830634106237	3.3734635910253	0.19724170136462235	Day25	Tylosin
A7	15.434982705321671	0.00021793631900014936	0.03894645384093893	62.82260484217932	0.6145296345012982	0.34593066507960174	14.976753129914632	8.022193330596233	6.798122969043955	16.150986018532205	63.47629886684055	2.203071818222916	1.8669150084920125	0.023097841172839948	Day27	Tylosin
A8	18.17542262077004	0.0012830861809585206	0.03918800138665835	48.60128672414471	0.3971333916830889	2.4674734249202337	17.819944921743545	7.313588187886804	7.272012713072232	19.09864397851216	49.038891203395416	2.4504831914980376	2.4365529564896735	0.13846695013683635	Day27	Tylosin
A9	15.35442246267357		0.050834844851204056	54.32946771916186	0.2635930194730464		24.715028397579847	6.849041254200689	7.143741804914201	16.044033172667728	54.64389558348611	3.459675485552726	3.608538404177592		Day27	Tylosin
A13	16.593041035950147	0.0007457975830316243	0.09278162807751619	69.03261682087455	0.18244482729470873	1.2226189885764343	28.547156464827516	9.819556589571643	4.8633701043270054	18.153186857398747	69.30858907382981	5.86983014914467	2.907173679832403	0.04282804804334201	Day31	Tylosin
A14	16.214872213006277	0.0014677420688058971	0.08686646013024553	63.943414452477256	0.28052347092227276	1.5449916513746296	32.14578568926798	8.899586393564773	10.08684653098455	17.76287085684544	64.31227212559858	3.186901435500508	3.6120538941576394	0.048062027984291336	Day31	Tylosin
A15	16.38439399111913	0.00012884574054786757	0.056774728888826564	70.43372404933301	0.2312871703087395	0.29964125708806433	31.34914257851398	10.070457552118972	8.312432301465138	18.221517307756947	70.72191479427111	3.7713561375998723	3.1129809560557318	0.00955819625170329	Day31	Tylosin
A10	16.456669919594624	0.004079884772437963	0.10194365367422706	70.37395396597327	0.29686313756742594	3.067582535667641	30.071766556098094	10.891587975001139	9.181824012314008	18.204269196284	70.77684064198736	3.2751408125191666	2.7610084613116253	0.10200872402840538	Day35	Tylosin
A11	17.263089645034093		0.13385743445939505	58.13913485342005	0.16328749850537524		31.84361071622336	9.758732113802594	6.414735476882733	19.41083123862435	58.43627978638482	4.9641346601088365	3.2630889284463773		Day35	Tylosin
A12	14.721576148262601	0.0005353584949329633	0.15053740385485226	68.33328862696034	0.23817265833436135	0.6225098778290262	41.30718146293892	9.720716816446934	6.428275183854969	16.45116611017945	68.72253404764449	6.425857680561746	4.24939664871724	0.015070257901463121	Day35	Tylosin
A4	3.5914408883506406		1.0255939316638991	32.79681896334209	0.582210713305681		64.84788698982425	0.9274121633672197	1.604739341060487	3.5914408883506406	34.40462360831167	40.41023070261973	69.9234812215278		Day25	Ciprofloxacin
A5	3.295820494182534		0.579409561774289	7.117335047138867	0.34783257493568326		26.93413128661525	0.18530408418048872	0.7391319980769225	3.295820494182534	8.044577183848839	36.44021819741618	145.35098568243666		Day25	Ciprofloxacin
A6	3.70476837255		0.26864536260281063	8.197306679259817	0.3771555117157667		24.274849824466315	0.2393436775459246	1.1692667877301117	3.70476837255	8.843107553578395	20.76074517740377	101.42256554827325		Day25	Ciprofloxacin
